abrir,abro,abres,abre,abrimos,abrís,abren,avata  ,0
aceptar,acepto,aceptas,acepta,aceptamos,aceptáis,aceptan,hyväksyä; ottaa vastaan ,0
andar,ando,andas,anda,andamos,andáis,andan,kävellä  ,0
apagar,apago,apagas,apaga,apagamos,apagáis,apagan,sammuttaa; vaimentaa ,0
aprender,aprendo,aprendes,aprende,aprendemos,aprendéis,aprenden,oppia  ,0
ayudar,ayudo,ayudas,ayuda,ayudamos,ayudáis,ayudan,auttaa  ,0
bailar,bailo,bailas,baila,bailamos,bailáis,bailan,tanssia  ,0
beber,bebo,bebes,bebe,bebemos,bebéis,beben,juoda  ,0
caber,quepo,cabes,cabe,cabemos,cabéis,caben,"mahtua, sopia ",1
cambiar,cambio,cambias,cambia,cambiamos,cambiáis,cambian,vaihtaa  ,0
cancelar,cancelo,cancelas,cancela,cancelamos,canceláis,cancelan,peruuttaa  ,0
cantar,canto,cantas,canta,cantamos,cantáis,cantan,laulaa  ,0
cerrar,cierro,cierras,cierra,cerramos,cerráis,cierran,sulkea  ,1
cocinar,cocino,cocinas,cocina,cocinamos,cocináis,cocinan,laittaa ruokaa  ,0
coger,cojo,coges,coge,cogemos,cogéis,cogen,ottaa (kiinni); tarttua (Lat.Am. Myös ”nussia”),1
comenzar,comienzo,comienzas,comienza,comenzamos,comenzáis,comienzan,aloittaa  ,1
comer,como,comes,come,comemos,coméis,comen,syödä  ,0
comprar,compro,compras,compra,compramos,compráis,compran,ostaa  ,0
comprender,comprendo,comprendes,comprende,comprendemos,comprendéis,comprenden,käsittää; ymmärtää ,1
concluir,concluyo,concluyes,concluye,concluimos,concluís,concluyen,lopettaa; päättää ,1
conducir,conduzco,conduces,conduce,conducimos,conducís,conducen,ajaa  ,1
conocer,conozco,conoces,conoce,conocemos,conocéis,conocen,tuntea; tunnistaa ,1
contar,cuento,cuentas,cuenta,contamos,contáis,cuentan,laskea; kertoa ,1
contestar,contesto,contestas,contesta,contestamos,contestáis,contestan,vastata  ,0
correr,corro,corres,corre,corremos,corréis,corren,juosta  ,0
cortar,corto,cortas,corta,cortamos,cortáis,cortan,leikata; katkaista ,0
costar,cuesto,cuestas,cuesta,costamos,costáis,cuestan,maksaa; olla hintana ,1
creer,creo,crees,cree,creemos,creéis,creen,uskoa; luottaa ,0
dañar,daño,dañas,daña,dañamos,dañáis,dañan,loukkaantua  ,0
dar,doy,das,da,damos,dais,dan,antaa  ,1
deber,debo,debes,debe,debemos,debéis,deben,"täytyä, pitää ",0
decidir,decido,decides,decide,decidimos,decidís,deciden,ratkaista; päättää ,0
decir,digo,dices,dice,decimos,decís,dicen,sanoa; kertoa ,1
despertar,despierto,despiertas,despierta,despertamos,despertáis,despiertan,herättää  ,1
dibujar,dibujo,dibujas,dibuja,dibujamos,dibujáis,dibujan,piirtää  ,0
dormir,duermo,duermes,duerme,dormimos,dormís,duermen,nukkua  ,1
empezar,empiezo,empiezas,empieza,empezamos,empezáis,empiezan,alkaa; aloittaa ,1
encender,enciendo,enciendes,enciende,encendemos,encendéis,encienden,sytyttää  ,1
encontrar,encuentro,encuentras,encuentra,encontramos,encontráis,encuentran,löytää; kohdata ,1
enseñar,enseño,enseñas,enseña,enseñamos,enseñáis,enseñan,opettaa  ,0
entender,entiendo,entiendes,entiende,entendemos,entendéis,entienden,ymmärtää  ,1
enviar,envío,envías,envía,enviamos,enviáis,envían,lähettää  ,0
escribir,escribo,escribes,escribe,escribimos,escribís,escriben,kirjoittaa  ,0
escuchar,escucho,escuchas,escucha,escuchamos,escucháis,escuchan,kuunnella  ,0
esperar,espero,esperas,espera,esperamos,esperáis,esperan,odottaa; toivoa ,0
estar,estoy,estás,está,estamos,estáis,están,olla; sijaita ,1
estudiar,estudio,estudias,estudia,estudiamos,estudiáis,estudian,opiskella  ,0
explicar,explico,explicas,explica,explicamos,explicáis,explican,selittää; selvittää ,0
firmar,firmo,firmas,firma,firmamos,firmáis,firman,allekirjoittaa  ,0
freír,frío,fríes,fríe,freímos,freís,fríen,paistaa (pannussa) ,1
fumar,fumo,fumas,fuma,fumamos,fumáis,fuman,polttaa tupakkaa ,0
gastar,gasto,gastas,gasta,gastamos,gastáis,gastan,kuluttaa; käyttää ,0
hablar,hablo,hablas,habla,hablamos,habláis,hablan,puhua; jutella ,0
hacer,hago,haces,hace,hacemos,hacéis,hacen,tehdä  ,1
herir,hiero,hieres,hiere,herimos,herís,hieren,haavoittaa; loukata; vahingoittaa,1
incluir,incluyo,incluyes,incluye,incluimos,incluís,incluyen,sisältää; sisällyttää ,1
intentar,intento,intentas,intenta,intentamos,intentáis,intentan,yrittää; koettaa ,0
ir,voy,vas,va,vamos,vais,van,mennä  ,1
jugar,juego,juegas,juega,jugamos,jugáis,juegan,pelata  ,1
leer,leo,lees,lee,leemos,leéis,leen,lukea  ,0
limpiar,limpio,limpias,limpia,limpiamos,limpiáis,limpian,siivota  ,0
llenar,lleno,llenas,llena,llenamos,llenáis,llenan,täyttää; vallata ,0
mirar,miro,miras,mira,miramos,miráis,miran,katsoa  ,0
nadar,nado,nadas,nada,nadamos,nadáis,nadan,uida  ,0
necesitar,necesito,necesitas,necesita,necesitamos,necesitáis,necesitan,tarvita; pakottaa ,0
oir,oigo,oyes,oye,oímos,oís,oyen,kuulla  ,1
oler,huelo,hueles,huele,olemos,oléis,huelen,haistaa  ,1
olvidar,olvido,olvidas,olvida,olvidamos,olvidáis,olvidan,unohtaa  ,0
organizar,organizo,organizas,organiza,organizamos,organizáis,organizan,järjestää  ,0
pagar,pago,pagas,paga,pagamos,pagáis,pagan,maksaa  ,0
parecer,parezco,pareces,parece,parecemos,parecéis,parecen,näyttää jltak; vaikuttaa,1
pedir,pido,pides,pide,pedimos,pedís,piden,pyytää; anoa ,1
pensar,pienso,piensas,piensa,pensamos,pensáis,piensan,ajatella; aikoa ,1
perder,pierdo,pierdes,pierde,perdemos,perdéis,pierden,menettää; kadottaa; hävittää,1
permitir,permito,permites,permite,permitimos,permitís,permiten,"luvata, sallia, antaa,",0
poder,puedo,puedes,puede,podemos,podéis,pueden,"voida, kyeta, pystyä",1
poner,pongo,pones,pone,ponemos,ponéis,ponen,pistää  ,1
preferir,prefiero,prefieres,prefiere,preferimos,preferís,prefieren,pitää parempana ,1
preguntar,pregunto,preguntas,pregunta,preguntamos,preguntáis,preguntan,kysyä  ,0
prestar,presto,prestas,presta,prestamos,prestáis,prestan,lainata  ,0
quedar,quedo,quedas,queda,quedamos,quedáis,quedan,jäädä jnnek/jäljelle; päättää;,0
querer,quiero,quieres,quiere,queremos,queréis,quieren,haluta; tahtoa ,1
recomendar,recomiendo,recomiendas,recomienda,recomendamos,recomendáis,recomiendan,suositella  ,1
recordar,recuerdo,recuerdas,recuerda,recordamos,recordáis,recuerdan,muistaa  ,1
reparar,reparo,reparas,repara,reparamos,reparáis,reparan,korjata  ,0
responder,respondo,respondes,responde,respondemos,respondéis,responden,vastata  ,0
romper,rompo,rompes,rompe,rompemos,rompéis,rompen,"rikkoa, särkeä; repiä",0
saber,sé,sabes,sabe,sabemos,sabéis,saben,tietää; osata ,1
salir,salgo,sales,sale,salimos,salís,salen,lähteä  ,1
sentir,siento,sientes,siente,sentimos,sentís,sienten,tuntea; aistia ,1
ser,soy,eres,es,somos,sois,son,olla  ,1
tener,tengo,tienes,tiene,tenemos,tenéis,tienen,olla; omistaa (verbi + que = täytyä),1
terminar,termino,terminas,termina,terminamos,termináis,terminan,lopettaa; saattaa päätökseen,0
tocar,toco,tocas,toca,tocamos,tocáis,tocan,"soittaa; koskettaa,… ",0
tomar,tomo,tomas,toma,tomamos,tomáis,toman,ottaa  ,0
trabajar,trabajo,trabajas,trabaja,trabajamos,trabajáis,trabajan,työskennellä  ,0
traducir,traduzco,traduces,traduce,traducimos,traducís,traducen,kääntää; vaihtaa ,1
traer,traigo,traes,trae,traemos,traéis,traen,"hakea, noutaa ",1
usar,uso,usas,usa,usamos,usáis,usan,käyttää  ,0
vender,vendo,vendes,vende,vendemos,vendéis,venden,myydä  ,0
ver,veo,ves,ve,vemos,veis,ven,nähdä  ,1
viajar,viajo,viajas,viaja,viajamos,viajáis,viajan,matkustaa  ,0
vivir,vivo,vives,vive,vivimos,vivís,viven,asua; elää ,0
volar,vuelo,vuelas,vuela,volamos,voláis,vuelan,lentää  ,1
volver,vuelvo,vuelves,vuelve,volvemos,volvéis,vuelven,palata; jättää ,1
